Strain,Mutations,Number/ID,Levo Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,0:00,C2,0.099
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,0:00,C3,0.099
BL21,wt,JOE2354,1.25 ng/mL,44882,0:00,D2,0.098
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,0:00,D3,0.1
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,0:00,E2,0.099
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,0:00,E3,0.1
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,0:00,F2,0.099
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,0:00,F3,0.1
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,0:00,G2,0.099
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,0:00,G3,0.099
BL21,wt,JOE2354,0 ng/mL,17-Nov,0:00,H2,0.096
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,0:00,H3,0.097
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,0:00,B2,0.1
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,0:00,B3,0.095
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,0:00,C2,0.098
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,0:00,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,0:00,D2,0.096
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,0:00,D3,0.1
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,0:00,E2,0.096
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,0:00,E3,0.099
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,0:00,F2,0.098
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,0:00,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,0:00,G2,0.094
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,0:00,G3,0.094
BL21,wt,JOE2354,0 ng/mL,22-Nov,0:00,H2,0.096
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,0:00,H3,0.097
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,0:00,B2,0.099
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,0:00,B3,0.097
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,0:00,C2,0.096
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,0:00,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,0:00,D2,0.096
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,0:00,D3,0.097
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,0:00,E2,0.096
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,0:00,E3,0.097
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,0:00,F2,0.098
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,0:00,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,0:00,G2,0.096
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,0:00,G3,0.098
BL21,wt,JOE2354,0 ng/mL,2-Dec,0:00,H2,0.094
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,0:00,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,0:29,C2,0.1
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,0:29,C3,0.099
BL21,wt,JOE2354,1.25 ng/mL,44882,0:29,D2,0.1
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,0:29,D3,0.1
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,0:29,E2,0.101
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,0:29,E3,0.1
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,0:29,F2,0.101
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,0:29,F3,0.1
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,0:29,G2,0.1
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,0:29,G3,0.1
BL21,wt,JOE2354,0 ng/mL,17-Nov,0:29,H2,0.098
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,0:29,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,0:29,B2,0.102
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,0:29,B3,0.095
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,0:29,C2,0.1
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,0:29,C3,0.096
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,0:29,D2,0.097
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,0:29,D3,0.1
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,0:29,E2,0.097
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,0:29,E3,0.101
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,0:29,F2,0.098
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,0:29,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,0:29,G2,0.095
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,0:29,G3,0.094
BL21,wt,JOE2354,0 ng/mL,22-Nov,0:29,H2,0.097
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,0:29,H3,0.097
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,0:29,B2,0.1
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,0:29,B3,0.097
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,0:29,C2,0.098
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,0:29,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,0:29,D2,0.097
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,0:29,D3,0.097
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,0:29,E2,0.098
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,0:29,E3,0.097
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,0:29,F2,0.099
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,0:29,F3,0.096
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,0:29,G2,0.097
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,0:29,G3,0.098
BL21,wt,JOE2354,0 ng/mL,2-Dec,0:29,H2,0.096
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,0:29,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,0:59,C2,0.103
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,0:59,C3,0.1
BL21,wt,JOE2354,1.25 ng/mL,44882,0:59,D2,0.102
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,0:59,D3,0.101
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,0:59,E2,0.103
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,0:59,E3,0.101
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,0:59,F2,0.103
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,0:59,F3,0.101
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,0:59,G2,0.103
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,0:59,G3,0.1
BL21,wt,JOE2354,0 ng/mL,17-Nov,0:59,H2,0.101
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,0:59,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,0:59,B2,0.104
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,0:59,B3,0.096
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,0:59,C2,0.101
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,0:59,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,0:59,D2,0.099
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,0:59,D3,0.1
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,0:59,E2,0.1
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,0:59,E3,0.102
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,0:59,F2,0.099
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,0:59,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,0:59,G2,0.097
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,0:59,G3,0.095
BL21,wt,JOE2354,0 ng/mL,22-Nov,0:59,H2,0.099
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,0:59,H3,0.098
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,0:59,B2,0.102
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,0:59,B3,0.098
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,0:59,C2,0.1
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,0:59,C3,0.098
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,0:59,D2,0.1
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,0:59,D3,0.098
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,0:59,E2,0.1
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,0:59,E3,0.098
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,0:59,F2,0.101
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,0:59,F3,0.097
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,0:59,G2,0.099
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,0:59,G3,0.098
BL21,wt,JOE2354,0 ng/mL,2-Dec,0:59,H2,0.098
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,0:59,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,1:29,C2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,1:29,C3,0.101
BL21,wt,JOE2354,1.25 ng/mL,44882,1:29,D2,0.108
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,1:29,D3,0.102
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,1:29,E2,0.109
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,1:29,E3,0.102
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,1:29,F2,0.11
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,1:29,F3,0.102
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,1:29,G2,0.109
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,1:29,G3,0.102
BL21,wt,JOE2354,0 ng/mL,17-Nov,1:29,H2,0.107
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,1:29,H3,0.1
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,1:29,B2,0.108
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,1:29,B3,0.096
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,1:29,C2,0.106
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,1:29,C3,0.097
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,1:29,D2,0.104
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,1:29,D3,0.101
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,1:29,E2,0.104
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,1:29,E3,0.103
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,1:29,F2,0.103
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,1:29,F3,0.099
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,1:29,G2,0.102
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,1:29,G3,0.096
BL21,wt,JOE2354,0 ng/mL,22-Nov,1:29,H2,0.104
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,1:29,H3,0.099
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,1:29,B2,0.107
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,1:29,B3,0.099
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,1:29,C2,0.105
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,1:29,C3,0.099
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,1:29,D2,0.105
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,1:29,D3,0.099
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,1:29,E2,0.105
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,1:29,E3,0.099
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,1:29,F2,0.106
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,1:29,F3,0.098
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,1:29,G2,0.104
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,1:29,G3,0.1
BL21,wt,JOE2354,0 ng/mL,2-Dec,1:29,H2,0.102
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,1:29,H3,0.1
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,1:59,C2,0.12
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,1:59,C3,0.104
BL21,wt,JOE2354,1.25 ng/mL,44882,1:59,D2,0.12
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,1:59,D3,0.104
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,1:59,E2,0.12
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,1:59,E3,0.104
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,1:59,F2,0.121
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,1:59,F3,0.104
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,1:59,G2,0.12
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,1:59,G3,0.104
BL21,wt,JOE2354,0 ng/mL,17-Nov,1:59,H2,0.117
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,1:59,H3,0.102
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,1:59,B2,0.117
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,1:59,B3,0.098
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,1:59,C2,0.114
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,1:59,C3,0.1
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,1:59,D2,0.112
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,1:59,D3,0.103
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,1:59,E2,0.114
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,1:59,E3,0.104
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,1:59,F2,0.111
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,1:59,F3,0.1
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,1:59,G2,0.11
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,1:59,G3,0.097
BL21,wt,JOE2354,0 ng/mL,22-Nov,1:59,H2,0.111
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,1:59,H3,0.1
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,1:59,B2,0.117
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,1:59,B3,0.101
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,1:59,C2,0.115
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,1:59,C3,0.101
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,1:59,D2,0.114
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,1:59,D3,0.101
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,1:59,E2,0.114
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,1:59,E3,0.101
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,1:59,F2,0.116
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,1:59,F3,0.1
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,1:59,G2,0.114
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,1:59,G3,0.102
BL21,wt,JOE2354,0 ng/mL,2-Dec,1:59,H2,0.111
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,1:59,H3,0.102
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,2:29,C2,0.142
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,2:29,C3,0.108
BL21,wt,JOE2354,1.25 ng/mL,44882,2:29,D2,0.143
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,2:29,D3,0.109
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,2:29,E2,0.141
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,2:29,E3,0.109
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,2:29,F2,0.141
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,2:29,F3,0.108
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,2:29,G2,0.139
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,2:29,G3,0.108
BL21,wt,JOE2354,0 ng/mL,17-Nov,2:29,H2,0.134
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,2:29,H3,0.106
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,2:29,B2,0.133
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,2:29,B3,0.1
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,2:29,C2,0.131
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,2:29,C3,0.102
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,2:29,D2,0.128
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,2:29,D3,0.105
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,2:29,E2,0.129
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,2:29,E3,0.107
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,2:29,F2,0.125
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,2:29,F3,0.102
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,2:29,G2,0.124
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,2:29,G3,0.099
BL21,wt,JOE2354,0 ng/mL,22-Nov,2:29,H2,0.124
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,2:29,H3,0.102
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,2:29,B2,0.137
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,2:29,B3,0.104
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,2:29,C2,0.135
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,2:29,C3,0.105
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,2:29,D2,0.133
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,2:29,D3,0.105
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,2:29,E2,0.132
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,2:29,E3,0.105
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,2:29,F2,0.132
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,2:29,F3,0.103
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,2:29,G2,0.129
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,2:29,G3,0.105
BL21,wt,JOE2354,0 ng/mL,2-Dec,2:29,H2,0.126
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,2:29,H3,0.105
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,2:59,C2,0.175
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,2:59,C3,0.114
BL21,wt,JOE2354,1.25 ng/mL,44882,2:59,D2,0.177
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,2:59,D3,0.116
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,2:59,E2,0.175
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,2:59,E3,0.115
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,2:59,F2,0.174
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,2:59,F3,0.115
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,2:59,G2,0.171
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,2:59,G3,0.114
BL21,wt,JOE2354,0 ng/mL,17-Nov,2:59,H2,0.162
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,2:59,H3,0.111
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,2:59,B2,0.159
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,2:59,B3,0.103
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,2:59,C2,0.16
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,2:59,C3,0.105
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,2:59,D2,0.156
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,2:59,D3,0.109
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,2:59,E2,0.156
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,2:59,E3,0.109
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,2:59,F2,0.153
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,2:59,F3,0.106
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,2:59,G2,0.148
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,2:59,G3,0.102
BL21,wt,JOE2354,0 ng/mL,22-Nov,2:59,H2,0.145
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,2:59,H3,0.105
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,2:59,B2,0.166
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,2:59,B3,0.111
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,2:59,C2,0.165
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,2:59,C3,0.112
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,2:59,D2,0.163
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,2:59,D3,0.112
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,2:59,E2,0.16
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,2:59,E3,0.112
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,2:59,F2,0.159
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,2:59,F3,0.11
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,2:59,G2,0.155
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,2:59,G3,0.112
BL21,wt,JOE2354,0 ng/mL,2-Dec,2:59,H2,0.15
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,2:59,H3,0.111
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,3:29,C2,0.221
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,3:29,C3,0.125
BL21,wt,JOE2354,1.25 ng/mL,44882,3:29,D2,0.229
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,3:29,D3,0.129
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,3:29,E2,0.228
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,3:29,E3,0.129
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,3:29,F2,0.229
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,3:29,F3,0.128
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,3:29,G2,0.227
BL21,Δ7,JOE6969,0.156 ng/mL,17-Nov,3:29,G3,0.126
BL21,wt,JOE2354,0 ng/mL,17-Nov,3:29,H2,0.213
BL21,Δ7,JOE6969,0 ng/mL,17-Nov,3:29,H3,0.123
BL21,wt,JOE2354,2.5 ng/mL,22-Nov,3:29,B2,0.198
BL21,Δ7,JOE6969,2.5 ng/mL,22-Nov,3:29,B3,0.11
BL21,wt,JOE2354,1.25 ng/mL,22-Nov,3:29,C2,0.201
BL21,Δ7,JOE6969,1.25 ng/mL,22-Nov,3:29,C3,0.114
BL21,wt,JOE2354,0.625 ng/mL,22-Nov,3:29,D2,0.2
BL21,Δ7,JOE6969,0.625 ng/mL,22-Nov,3:29,D3,0.116
BL21,wt,JOE2354,0.313 ng/mL,22-Nov,3:29,E2,0.202
BL21,Δ7,JOE6969,0.313 ng/mL,22-Nov,3:29,E3,0.115
BL21,wt,JOE2354,0.156 ng/mL,22-Nov,3:29,F2,0.194
BL21,Δ7,JOE6969,0.156 ng/mL,22-Nov,3:29,F3,0.113
BL21,wt,JOE2354,0.078 ng/mL,22-Nov,3:29,G2,0.189
BL21,Δ7,JOE6969,0.078 ng/mL,22-Nov,3:29,G3,0.109
BL21,wt,JOE2354,0 ng/mL,22-Nov,3:29,H2,0.183
BL21,Δ7,JOE6969,0 ng/mL,22-Nov,3:29,H3,0.111
BL21,wt,JOE2354,2.5 ng/mL,2-Dec,3:29,B2,0.21
BL21,Δ7,JOE6969,2.5 ng/mL,2-Dec,3:29,B3,0.121
BL21,wt,JOE2354,1.25 ng/mL,2-Dec,3:29,C2,0.211
BL21,Δ7,JOE6969,1.25 ng/mL,2-Dec,3:29,C3,0.124
BL21,wt,JOE2354,0.625 ng/mL,2-Dec,3:29,D2,0.211
BL21,Δ7,JOE6969,0.625 ng/mL,2-Dec,3:29,D3,0.124
BL21,wt,JOE2354,0.313 ng/mL,2-Dec,3:29,E2,0.207
BL21,Δ7,JOE6969,0.313 ng/mL,2-Dec,3:29,E3,0.124
BL21,wt,JOE2354,0.156 ng/mL,2-Dec,3:29,F2,0.206
BL21,Δ7,JOE6969,0.156 ng/mL,2-Dec,3:29,F3,0.122
BL21,wt,JOE2354,0.078 ng/mL,2-Dec,3:29,G2,0.201
BL21,Δ7,JOE6969,0.078 ng/mL,2-Dec,3:29,G3,0.123
BL21,wt,JOE2354,0 ng/mL,2-Dec,3:29,H2,0.192
BL21,Δ7,JOE6969,0 ng/mL,2-Dec,3:29,H3,0.122
BL21,wt,JOE2354,2.5 ng/mL,17-Nov,3:59,C2,0.279
BL21,Δ7,JOE6969,2.5 ng/mL,17-Nov,3:59,C3,0.14
BL21,wt,JOE2354,1.25 ng/mL,44882,3:59,D2,0.29
BL21,Δ7,JOE6969,1.25 ng/mL,17-Nov,3:59,D3,0.148
BL21,wt,JOE2354,0.625 ng/mL,17-Nov,3:59,E2,0.295
BL21,Δ7,JOE6969,0.625 ng/mL,17-Nov,3:59,E3,0.15
BL21,wt,JOE2354,0.313 ng/mL,17-Nov,3:59,F2,0.303
BL21,Δ7,JOE6969,0.313 ng/mL,17-Nov,3:59,F3,0.149
BL21,wt,JOE2354,0.156 ng/mL,17-Nov,3:59,G2,0.302
